Trip..Duration,Start.Station.Id,Start.Time,End.Station.Id,End.Time,User.Type,Long_Trip
519,7429,12/04/2021 00:13,7428,12/04/2021 00:21,Casual Member,No
336,7238,12/04/2021 01:38,7662,12/04/2021 01:44,Casual Member,No
1617,7457,12/04/2021 03:33,7662,12/04/2021 04:00,Annual Member,Yes
1212,7041,12/04/2021 07:27,7338,12/04/2021 07:47,Annual Member,Yes
574,7357,12/04/2021 07:37,7428,12/04/2021 07:46,Casual Member,No
1559,7526,12/04/2021 09:30,7662,12/04/2021 09:56,Annual Member,Yes
455,7001,12/04/2021 10:18,7293,12/04/2021 10:25,Casual Member,No
315,7006,12/04/2021 10:41,7293,12/04/2021 10:46,Annual Member,No
438,7124,12/04/2021 10:44,7338,12/04/2021 10:51,Annual Member,No
357,7104,12/04/2021 10:53,7107,12/04/2021 10:59,Annual Member,No
495,7055,12/04/2021 11:40,7293,12/04/2021 11:49,Casual Member,No
494,7028,12/04/2021 12:08,7293,12/04/2021 12:17,Casual Member,No
501,7281,12/04/2021 12:39,7293,12/04/2021 12:47,Annual Member,No
1467,7090,12/04/2021 12:44,7107,12/04/2021 13:09,Annual Member,Yes
1121,7601,12/04/2021 12:46,7107,12/04/2021 13:05,Annual Member,Yes
454,7273,12/04/2021 12:53,7293,12/04/2021 13:01,Annual Member,No
1231,7154,12/04/2021 13:19,7249,12/04/2021 13:39,Annual Member,Yes
372,7079,12/04/2021 13:32,7293,12/04/2021 13:38,Casual Member,No
326,7026,12/04/2021 13:45,7293,12/04/2021 13:50,Casual Member,No
553,7103,12/04/2021 13:46,7338,12/04/2021 13:55,Casual Member,No
327,7226,12/04/2021 14:11,7662,12/04/2021 14:17,Annual Member,No
740,7173,12/04/2021 14:24,7662,12/04/2021 14:36,Casual Member,No
741,7357,12/04/2021 14:32,7428,12/04/2021 14:44,Annual Member,No
982,7121,12/04/2021 15:06,7293,12/04/2021 15:22,Casual Member,Yes
150,7205,12/04/2021 15:19,7249,12/04/2021 15:22,Annual Member,No
704,7147,12/04/2021 15:35,7662,12/04/2021 15:46,Annual Member,No
764,7406,12/04/2021 15:35,7107,12/04/2021 15:48,Casual Member,No
746,7406,12/04/2021 15:35,7107,12/04/2021 15:48,Casual Member,No
702,7462,12/04/2021 15:41,7293,12/04/2021 15:53,Annual Member,No
856,7269,12/04/2021 15:43,7107,12/04/2021 15:58,Annual Member,No
139,7346,12/04/2021 16:34,7338,12/04/2021 16:36,Annual Member,No
363,7006,12/04/2021 16:37,7293,12/04/2021 16:43,Annual Member,No
1592,7148,12/04/2021 16:44,7662,12/04/2021 17:11,Casual Member,Yes
1073,7198,12/04/2021 17:29,7293,12/04/2021 17:47,Annual Member,Yes
441,7329,12/04/2021 17:47,7249,12/04/2021 17:54,Casual Member,No
1189,7569,12/04/2021 17:58,7107,12/04/2021 18:18,Annual Member,Yes
781,7152,12/04/2021 18:29,7249,12/04/2021 18:42,Casual Member,No
720,7152,12/04/2021 18:30,7249,12/04/2021 18:42,Casual Member,No
1190,7391,12/04/2021 18:33,7249,12/04/2021 18:53,Annual Member,Yes
352,7006,12/04/2021 18:40,7293,12/04/2021 18:46,Annual Member,No
360,7337,12/04/2021 18:45,7338,12/04/2021 18:51,Casual Member,No
402,7273,12/04/2021 18:50,7293,12/04/2021 18:57,Annual Member,No
476,7281,12/04/2021 18:54,7293,12/04/2021 19:02,Annual Member,No
1293,7483,12/04/2021 19:05,7338,12/04/2021 19:26,Casual Member,Yes
483,7193,12/04/2021 19:06,7662,12/04/2021 19:14,Annual Member,No
1846,7230,12/04/2021 19:10,7662,12/04/2021 19:41,Annual Member,Yes
206,7346,12/04/2021 19:36,7338,12/04/2021 19:39,Casual Member,No
543,7276,12/04/2021 20:06,7293,12/04/2021 20:16,Casual Member,No
335,7093,12/04/2021 20:51,7338,12/04/2021 20:56,Casual Member,No
1300,7102,12/04/2021 22:27,7662,12/04/2021 22:48,Annual Member,Yes
707,7345,12/04/2021 23:05,7107,12/04/2021 23:17,Annual Member,No
268,7002,12/04/2021 23:38,7293,12/04/2021 23:42,Annual Member,No
1031,7483,12/05/2021 00:38,7338,12/05/2021 00:55,Annual Member,Yes
939,7256,12/05/2021 07:00,7662,12/05/2021 07:16,Annual Member,Yes
919,7309,12/05/2021 08:39,7107,12/05/2021 08:54,Annual Member,Yes
1435,7515,12/05/2021 09:04,7662,12/05/2021 09:28,Annual Member,Yes
344,7271,12/05/2021 10:05,7293,12/05/2021 10:11,Casual Member,No
1318,7419,12/05/2021 10:07,7662,12/05/2021 10:29,Annual Member,Yes
558,7462,12/05/2021 10:15,7293,12/05/2021 10:24,Annual Member,No
884,7216,12/05/2021 10:29,7662,12/05/2021 10:44,Annual Member,No
258,7078,12/05/2021 11:16,7293,12/05/2021 11:21,Annual Member,No
1375,7418,12/05/2021 11:30,7338,12/05/2021 11:53,Annual Member,Yes
538,7333,12/05/2021 11:35,7107,12/05/2021 11:44,Annual Member,No
421,7329,12/05/2021 12:08,7249,12/05/2021 12:15,Casual Member,No
330,7163,12/05/2021 12:29,7293,12/05/2021 12:35,Casual Member,No
1849,7038,12/05/2021 12:38,7338,12/05/2021 13:09,Casual Member,Yes
602,7090,12/05/2021 13:28,7338,12/05/2021 13:38,Annual Member,No
343,7285,12/05/2021 14:34,7293,12/05/2021 14:40,Annual Member,No
1226,7026,12/05/2021 14:35,7293,12/05/2021 14:55,Casual Member,Yes
1380,7198,12/05/2021 14:50,7293,12/05/2021 15:13,Annual Member,Yes
719,7357,12/05/2021 15:16,7107,12/05/2021 15:28,Casual Member,No
255,7235,12/05/2021 15:16,7293,12/05/2021 15:21,Casual Member,No
448,7147,12/05/2021 16:15,7662,12/05/2021 16:22,Casual Member,No
1582,7432,12/05/2021 16:30,7338,12/05/2021 16:56,Casual Member,Yes
1572,7432,12/05/2021 16:30,7338,12/05/2021 16:56,Casual Member,Yes
377,7337,12/05/2021 16:41,7338,12/05/2021 16:47,Casual Member,No
1523,7019,12/05/2021 16:42,7662,12/05/2021 17:08,Annual Member,Yes
1159,7156,12/05/2021 17:09,7662,12/05/2021 17:28,Casual Member,Yes
390,7524,12/05/2021 17:35,7662,12/05/2021 17:42,Casual Member,No
591,7252,12/05/2021 18:16,7293,12/05/2021 18:26,Annual Member,No
256,7097,12/05/2021 18:59,7338,12/05/2021 19:03,Casual Member,No
112,7250,12/05/2021 20:19,7293,12/05/2021 20:21,Annual Member,No
1761,7356,12/06/2021 07:10,7662,12/06/2021 07:40,Annual Member,Yes
438,7273,12/06/2021 07:54,7293,12/06/2021 08:01,Annual Member,No
585,7260,12/06/2021 07:56,7293,12/06/2021 08:06,Annual Member,No
791,7209,12/06/2021 08:34,7293,12/06/2021 08:47,Annual Member,No
383,7273,12/06/2021 08:43,7293,12/06/2021 08:49,Annual Member,No
629,7042,12/06/2021 08:52,7293,12/06/2021 09:02,Annual Member,No
483,7055,12/06/2021 09:01,7293,12/06/2021 09:09,Casual Member,No
641,7114,12/06/2021 09:09,7293,12/06/2021 09:20,Annual Member,No
589,7002,12/06/2021 10:02,7293,12/06/2021 10:12,Annual Member,No
102,7365,12/06/2021 10:35,7428,12/06/2021 10:36,Annual Member,No
392,7544,12/06/2021 10:58,7293,12/06/2021 11:04,Annual Member,No
473,7544,12/06/2021 11:00,7293,12/06/2021 11:08,Annual Member,No
249,7078,12/06/2021 11:07,7293,12/06/2021 11:11,Annual Member,No
1084,7150,12/06/2021 11:32,7293,12/06/2021 11:50,Annual Member,Yes
432,7162,12/06/2021 11:45,7293,12/06/2021 11:53,Annual Member,No
366,7199,12/06/2021 12:13,7293,12/06/2021 12:19,Annual Member,No
267,7230,12/06/2021 12:15,7662,12/06/2021 12:19,Annual Member,No
431,7252,12/06/2021 12:43,7293,12/06/2021 12:50,Casual Member,No
357,7263,12/06/2021 13:01,7293,12/06/2021 13:07,Annual Member,No
256,7346,12/06/2021 13:02,7338,12/06/2021 13:06,Casual Member,No
374,7170,12/06/2021 13:05,7293,12/06/2021 13:11,Annual Member,No
225,7006,12/06/2021 13:05,7293,12/06/2021 13:09,Casual Member,No
523,7014,12/06/2021 13:59,7293,12/06/2021 14:08,Casual Member,No
406,7292,12/06/2021 14:23,7293,12/06/2021 14:30,Annual Member,No
293,7337,12/06/2021 14:47,7338,12/06/2021 14:52,Annual Member,No
353,7094,12/06/2021 15:26,7338,12/06/2021 15:32,Casual Member,No
534,7124,12/06/2021 15:56,7338,12/06/2021 16:05,Casual Member,No
557,7089,12/06/2021 16:33,7293,12/06/2021 16:42,Annual Member,No
425,7453,12/06/2021 17:05,7293,12/06/2021 17:12,Annual Member,No
284,7095,12/06/2021 17:24,7338,12/06/2021 17:28,Annual Member,No
3357,7299,12/06/2021 17:31,7662,12/06/2021 18:27,Annual Member,Yes
1368,7198,12/06/2021 17:32,7293,12/06/2021 17:55,Annual Member,Yes
971,7013,12/06/2021 18:42,7293,12/06/2021 18:58,Casual Member,Yes
249,7006,12/06/2021 19:01,7293,12/06/2021 19:05,Annual Member,No
192,7136,12/06/2021 23:31,7662,12/06/2021 23:34,Annual Member,No
352,7029,12/07/2021 08:26,7293,12/07/2021 08:32,Annual Member,No
1124,7237,12/07/2021 08:29,7662,12/07/2021 08:47,Annual Member,Yes
558,7399,12/07/2021 08:32,7107,12/07/2021 08:41,Annual Member,No
336,7667,12/07/2021 08:34,7293,12/07/2021 08:40,Annual Member,No
468,7292,12/07/2021 08:35,7293,12/07/2021 08:43,Annual Member,No
702,7042,12/07/2021 08:53,7293,12/07/2021 09:04,Annual Member,No
238,7190,12/07/2021 08:58,7293,12/07/2021 09:02,Annual Member,No
474,7014,12/07/2021 09:21,7293,12/07/2021 09:29,Annual Member,No
306,7389,12/07/2021 09:44,7293,12/07/2021 09:49,Casual Member,No
687,7267,12/07/2021 09:44,7293,12/07/2021 09:56,Annual Member,No
562,7281,12/07/2021 10:11,7293,12/07/2021 10:20,Annual Member,No
1391,7594,12/07/2021 10:39,7293,12/07/2021 11:02,Casual Member,Yes
608,7419,12/07/2021 10:42,7293,12/07/2021 10:53,Annual Member,No
703,7253,12/07/2021 10:56,7293,12/07/2021 11:08,Annual Member,No
339,7199,12/07/2021 12:27,7293,12/07/2021 12:32,Annual Member,No
87,7365,12/07/2021 12:59,7428,12/07/2021 13:00,Annual Member,No
560,7169,12/07/2021 13:29,7107,12/07/2021 13:38,Casual Member,No
402,7095,12/07/2021 13:58,7338,12/07/2021 14:05,Casual Member,No
581,7247,12/07/2021 15:05,7249,12/07/2021 15:15,Annual Member,No
735,7508,12/07/2021 16:26,7293,12/07/2021 16:38,Annual Member,No
1504,7382,12/07/2021 17:13,7338,12/07/2021 17:38,Annual Member,Yes
359,7238,12/07/2021 17:26,7662,12/07/2021 17:32,Annual Member,No
367,7094,12/07/2021 17:49,7338,12/07/2021 17:55,Casual Member,No
1284,7275,12/07/2021 18:13,7338,12/07/2021 18:34,Annual Member,Yes
882,7257,12/07/2021 18:30,7249,12/07/2021 18:44,Annual Member,No
191,7450,12/07/2021 18:44,7338,12/07/2021 18:47,Casual Member,No
1223,7198,12/07/2021 18:55,7293,12/07/2021 19:16,Annual Member,Yes
789,7104,12/07/2021 18:58,7338,12/07/2021 19:11,Annual Member,No
422,7316,12/08/2021 07:46,7428,12/08/2021 07:53,Annual Member,No
655,7205,12/08/2021 07:59,7293,12/08/2021 08:10,Annual Member,No
545,7206,12/08/2021 08:27,7293,12/08/2021 08:36,Casual Member,No
640,7463,12/08/2021 08:42,7293,12/08/2021 08:53,Annual Member,No
238,7047,12/08/2021 08:42,7293,12/08/2021 08:46,Annual Member,No
